rank	State	Pop	Growth	Pop2021	Pop2010	growthSince2010	Percent	density		FIPS	Province_State	Country_Region	Date	Lat	Long	Combined_Key	People_Fully_Vaccinated	People_Partially_Vaccinated	Pop
17	Indiana	6842385	0.0054	6805663	6490432	0.0542	0.0204	190.9894		18	Indiana	US	4/25/22	39.8494	-86.2583	"Indiana, US"	3712192	444833	6842385
33	Iowa	3174426	0.002	3167974	3050745	0.0405	0.0094	56.8313		19	Iowa	US	4/25/22	42.0115	-93.2105	"Iowa, US"	1951515	189619	3174426
36	Kansas	2919179	0.0007	2917224	2858190	0.0213	0.0087	35.7047		20	Kansas	US	4/25/22	38.5266	-96.7265	"Kansas, US"	1785962	380911	2919179
26	Kentucky	4487233	0.0015	4480713	4348181	0.032	0.0134	113.6411		21	Kentucky	US	4/25/22	37.6681	-84.6701	"Kentucky, US"	2560394	391658	4487233
25	Louisiana	4616106	-0.0024	4627002	4544532	0.0157	0.0137	106.8444		22	Louisiana	US	4/25/22	31.1695	-91.8678	"Louisiana, US"	2483512	349408	4616106
43	Maine	1359677	0.0038	1354522	1327629	0.0241	0.004	44.0838		23	Maine	US	4/25/22	44.6939	-69.3819	"Maine, US"	1067096	145736	1359677
19	Maryland	6075314	0.0016	6065436	5788645	0.0495	0.0181	625.8694		24	Maryland	US	4/25/22	39.0639	-76.8021	"Maryland, US"	4600541	655115	6075314
16	Massachusetts	6922107	0.0014	6912239	6566307	0.0542	0.0206	887.4496		25	Massachusetts	US	4/25/22	42.2302	-71.5301	"Massachusetts, US"	5430390	1321672	6922107
10	Michigan	9995212	0.0003	9992427	9877510	0.0119	0.0297	176.7844		26	Michigan	US	4/25/22	43.3266	-84.5361	"Michigan, US"	5999089	681027	9995212
22	Minnesota	5739781	0.0059	5706398	5310828	0.0808	0.0171	72.0834		27	Minnesota	US	4/25/22	45.6945	-93.9002	"Minnesota, US"	3895625	334004	5739781
35	Mississippi	2961536	-0.0016	2966407	2970548	-0.003	0.0088	63.1148		28	Mississippi	US	4/25/22	32.7416	-89.6787	"Mississippi, US"	1539752	231212	2961536
18	Missouri	6184843	0.0026	6169038	5995974	0.0315	0.0184	89.9718		29	Missouri	US	4/25/22	38.4561	-92.2884	"Missouri, US"	3497446	621897	6184843
44	Montana	1093117	0.0075	1085004	990697	0.1034	0.0033	7.5105		30	Montana	US	4/25/22	46.9219	-110.4544	"Montana, US"	605556	90515	1093117
38	Nebraska	1960790	0.0045	1951996	1829542	0.0717	0.0058	25.5231		31	Nebraska	US	4/25/22	41.1254	-98.2681	"Nebraska, US"	1228118	129931	1960790
31	Nevada	3238601	0.0166	3185786	2702405	0.1984	0.0096	29.5006		32	Nevada	US	4/25/22	38.3135	-117.0554	"Nevada, US"	1869800	444083	3238601
42	New Hampshire	1378449	0.0046	1372203	1316762	0.0468	0.0041	153.965		33	New Hampshire	US	4/25/22	43.4525	-71.5639	"New Hampshire, US"	952506	241215	1378449
11	New Jersey	8870685	-0.0004	8874520	8799446	0.0081	0.0264	1206.2395		34	New Jersey	US	4/25/22	40.2989	-74.521	"New Jersey, US"	6835877	1309300	8870685
37	New Mexico	2109093	0.0019	2105005	2064552	0.0216	0.0063	17.3877		35	New Mexico	US	4/25/22	34.8405	-106.2485	"New Mexico, US"	1487500	346782	2109093
4	New York	19223191	-0.004	19299981	19399878	-0.0091	0.0572	407.9105		36	New York	US	4/25/22	42.1657	-74.9481	"New York, US"	14934973	2584023	19223191
9	North Carolina	10807491	0.0099	10701022	9574323	0.1288	0.0322	222.294		37	North Carolina	US	4/25/22	35.6301	-79.8064	"North Carolina, US"	6482692	2420961	10807491
48	North Dakota	774008	0.0052	770026	674715	0.1472	0.0023	11.2173		38	North Dakota	US	4/25/22	47.5289	-99.784	"North Dakota, US"	418047	75877	774008
7	Ohio	11727377	0.0011	11714618	11539336	0.0163	0.0349	287.0066		39	Ohio	US	4/25/22	40.3888	-82.7649	"Ohio, US"	6816876	603482	11727377
28	Oklahoma	4007179	0.0042	3990443	3759944	0.0658	0.0119	58.4179		40	Oklahoma	US	4/25/22	35.5653	-96.9289	"Oklahoma, US"	2259969	548444	4007179
27	Oregon	4325290	0.0084	4289439	3837491	0.1271	0.0129	45.0607		41	Oregon	US	4/25/22	44.572	-122.0709	"Oregon, US"	2932596	347991	4325290
5	Pennsylvania	12805190	0.0001	12804123	12711160	0.0074	0.0381	286.1943		42	Pennsylvania	US	4/25/22	40.5908	-77.2098	"Pennsylvania, US"	8737640	2104937	12805190
32	Puerto Rico	3194714	0.0001	3194374	3721525	-0.1416	0.0095	923.5947		72	Puerto Rico	US	4/25/22	18.2208	-66.5901	"Puerto Rico, US"	2675569	381446	3194714
45	Rhode Island	1062583	0.001	1061509	1053959	0.0082	0.0032	1027.6431		44	Rhode Island	US	4/25/22	41.6809	-71.5118	"Rhode Island, US"	872217	169152	1062583
23	South Carolina	5342388	0.0122	5277830	4635649	0.1525	0.0159	177.7182		45	South Carolina	US	4/25/22	33.8569	-80.945	"South Carolina, US"	2916106	548081	5342388
47	South Dakota	902542	0.0066	896581	816166	0.1058	0.0027	11.9052		46	South Dakota	US	4/25/22	44.2998	-99.4388	"South Dakota, US"	541894	133404	902542
15	Tennessee	7001803	0.0083	6944260	6355311	0.1017	0.0208	169.8024		47	Tennessee	US	4/25/22	35.7478	-86.6923	"Tennessee, US"	3716928	523592	7001803
2	Texas	30097526	0.0124	29730311	25241971	0.1924	0.0896	115.2138		48	Texas	US	4/25/22	31.0545	-97.5635	"Texas, US"	17776554	3372883	30097526
30	Utah	3363182	0.0158	3310774	2775332	0.2118	0.01	40.9296		49	Utah	US	4/25/22	40.15	-111.8624	"Utah, US"	2057203	250859	3363182
51	Vermont	622882	-0.0006	623251	625879	-0.0048	0.0019	67.5797		50	Vermont	US	4/25/22	44.0459	-72.7107	"Vermont, US"	505562	76789	622882
12	Virginia	8638218	0.004	8603985	8023699	0.0766	0.0257	218.7444		51	Virginia	US	4/25/22	37.7693	-78.17	"Virginia, US"	6284511	1065416	8638218
13	Washington	7887965	0.0117	7796941	6742830	0.1698	0.0235	118.6945		53	Washington	US	4/25/22	47.4009	-121.4905	"Washington, US"	5518484	5698441	7887965
40	West Virginia	1755715	-0.0069	1767859	1854239	-0.0531	0.0052	73.0391		54	West Virginia	US	4/25/22	38.4912	-80.9545	"West Virginia, US"	1030401	132788	1755715
21	Wisconsin	5867518	0.0026	5852490	5690475	0.0311	0.0175	108.3407		55	Wisconsin	US	4/25/22	44.2685	-89.6165	"Wisconsin, US"	3812498	365421	5867518
52	Wyoming	582233	0.002	581075	564487	0.0314	0.0017	5.9967		56	Wyoming	US	4/25/22	42.756	-107.3025	"Wyoming, US"	298011	41850	582233
